sku,product_name,category,on_hand_units,reorder_point,optimized_reorder_point,reorder_point_change_pct,current_below_optimized
SKU1000,Fruit Tree Variety 1,Fruit Trees,189,121.6,21.3,-82.5,False
SKU1001,Fruit Tree Variety 2,Fruit Trees,116,69.0,15.2,-78.0,False
SKU1002,Fruit Tree Variety 3,Fruit Trees,184,102.4,20.6,-79.9,False
SKU1003,Fruit Tree Variety 4,Fruit Trees,49,82.6,20.0,-75.8,False
SKU1004,Fruit Tree Variety 5,Fruit Trees,159,113.5,21.8,-80.8,False
SKU1005,Fruit Tree Variety 6,Fruit Trees,193,148.0,30.5,-79.4,False
SKU1006,Fruit Tree Variety 7,Fruit Trees,77,69.9,14.9,-78.7,False
SKU1007,Fruit Tree Variety 8,Fruit Trees,95,72.9,15.5,-78.7,False
SKU1008,Fruit Tree Variety 9,Fruit Trees,65,44.1,10.9,-75.3,False
SKU1009,Fruit Tree Variety 10,Fruit Trees,55,55.4,10.6,-80.9,False
SKU1010,Fruit Tree Variety 11,Fruit Trees,23,66.8,15.0,-77.5,False
SKU1011,Shade Tree Variety 1,Shade Trees,59,53.2,15.2,-71.4,False
SKU1012,Shade Tree Variety 2,Shade Trees,12,39.8,11.4,-71.4,False
SKU1013,Shade Tree Variety 3,Shade Trees,81,78.9,19.5,-75.3,False
SKU1014,Shade Tree Variety 4,Shade Trees,60,36.9,11.0,-70.2,False
SKU1015,Shade Tree Variety 5,Shade Trees,64,37.3,11.5,-69.2,False
SKU1016,Shade Tree Variety 6,Shade Trees,18,35.4,10.7,-69.8,False
SKU1017,Shade Tree Variety 7,Shade Trees,81,77.7,19.8,-74.5,False
SKU1018,Shade Tree Variety 8,Shade Trees,49,34.8,10.7,-69.3,False
SKU1019,Flowering Shrub Variety 1,Flowering Shrubs,87,92.9,21.0,-77.4,False
SKU1020,Flowering Shrub Variety 2,Flowering Shrubs,159,100.2,20.8,-79.2,False
SKU1021,Flowering Shrub Variety 3,Flowering Shrubs,132,74.4,15.1,-79.7,False
SKU1022,Flowering Shrub Variety 4,Flowering Shrubs,22,39.7,11.1,-72.0,False
SKU1023,Flowering Shrub Variety 5,Flowering Shrubs,30,98.8,20.2,-79.6,False
SKU1024,Flowering Shrub Variety 6,Flowering Shrubs,53,57.8,15.1,-73.9,False
SKU1025,Flowering Shrub Variety 7,Flowering Shrubs,73,47.6,11.0,-76.9,False
SKU1026,Flowering Shrub Variety 8,Flowering Shrubs,80,53.7,11.6,-78.4,False
SKU1027,Flowering Shrub Variety 9,Flowering Shrubs,108,70.3,15.2,-78.4,False
SKU1028,Flowering Shrub Variety 10,Flowering Shrubs,57,117.9,21.1,-82.1,False
SKU1029,Flowering Shrub Variety 11,Flowering Shrubs,80,105.8,20.9,-80.2,False
SKU1030,Flowering Shrub Variety 12,Flowering Shrubs,40,68.2,15.5,-77.3,False
SKU1031,Flowering Shrub Variety 13,Flowering Shrubs,39,104.1,20.5,-80.3,False
SKU1032,Privacy Hedge Variety 1,Privacy Hedges,92,62.9,15.7,-75.0,False
SKU1033,Privacy Hedge Variety 2,Privacy Hedges,63,89.0,20.2,-77.3,False
SKU1034,Privacy Hedge Variety 3,Privacy Hedges,93,64.9,14.9,-77.0,False
SKU1035,Privacy Hedge Variety 4,Privacy Hedges,115,100.9,19.6,-80.6,False
SKU1036,Privacy Hedge Variety 5,Privacy Hedges,44,49.4,10.9,-77.9,False
SKU1037,Privacy Hedge Variety 6,Privacy Hedges,88,67.7,14.9,-78.0,False
SKU1038,Privacy Hedge Variety 7,Privacy Hedges,57,69.6,15.1,-78.3,False
SKU1039,Privacy Hedge Variety 8,Privacy Hedges,95,66.9,15.1,-77.4,False
SKU1040,Privacy Hedge Variety 9,Privacy Hedges,134,84.1,21.1,-74.9,False
SKU1041,Houseplant Variety 1,Houseplants,77,63.8,10.9,-82.9,False
SKU1042,Houseplant Variety 2,Houseplants,51,61.9,10.7,-82.7,False
SKU1043,Houseplant Variety 3,Houseplants,62,92.1,15.3,-83.4,False
SKU1044,Houseplant Variety 4,Houseplants,201,136.7,20.7,-84.9,False
SKU1045,Houseplant Variety 5,Houseplants,44,88.3,15.0,-83.0,False
SKU1046,Houseplant Variety 6,Houseplants,105,122.3,21.2,-82.7,False
SKU1047,Houseplant Variety 7,Houseplants,341,197.7,29.7,-85.0,False
SKU1048,Houseplant Variety 8,Houseplants,133,93.4,15.3,-83.6,False
SKU1049,Houseplant Variety 9,Houseplants,104,93.6,14.8,-84.2,False
SKU1050,Houseplant Variety 10,Houseplants,69,86.7,15.5,-82.1,False
SKU1051,Houseplant Variety 11,Houseplants,19,56.2,11.2,-80.1,False
SKU1052,Houseplant Variety 12,Houseplants,146,97.4,15.5,-84.1,False
SKU1053,Succulent Variety 1,Succulents,88,85.5,11.4,-86.7,False
SKU1054,Succulent Variety 2,Succulents,140,87.5,11.3,-87.1,False
SKU1055,Succulent Variety 3,Succulents,91,85.3,11.0,-87.1,False
SKU1056,Succulent Variety 4,Succulents,150,132.0,15.4,-88.3,False
SKU1057,Succulent Variety 5,Succulents,54,79.4,10.8,-86.4,False
SKU1058,Succulent Variety 6,Succulents,63,90.7,10.8,-88.1,False
SKU1059,Succulent Variety 7,Succulents,107,112.1,15.5,-86.2,False
SKU1060,Succulent Variety 8,Succulents,320,198.6,20.6,-89.6,False
