sku,product_name,category,avg_daily_demand_60d,lead_time_days,safety_stock,reorder_point,on_hand_units,supplier_region
SKU1000,Fruit Tree Variety 1,Fruit Trees,5.43,14,45.5,121.6,189,Southeast
SKU1001,Fruit Tree Variety 2,Fruit Trees,4.9,10,20.0,69.0,116,Midwest
SKU1002,Fruit Tree Variety 3,Fruit Trees,4.85,14,34.5,102.4,184,Texas
SKU1003,Fruit Tree Variety 4,Fruit Trees,4.13,14,24.7,82.6,49,Southeast
SKU1004,Fruit Tree Variety 5,Fruit Trees,5.18,14,40.9,113.5,159,Pacific NW
SKU1005,Fruit Tree Variety 6,Fruit Trees,4.45,21,54.5,148.0,193,Southeast
SKU1006,Fruit Tree Variety 7,Fruit Trees,4.7,10,22.9,69.9,77,Texas
SKU1007,Fruit Tree Variety 8,Fruit Trees,5.42,10,18.7,72.9,95,Midwest
SKU1008,Fruit Tree Variety 9,Fruit Trees,4.82,7,10.4,44.1,65,Texas
SKU1009,Fruit Tree Variety 10,Fruit Trees,5.55,7,16.5,55.4,55,Pacific NW
SKU1010,Fruit Tree Variety 11,Fruit Trees,4.95,10,17.3,66.8,23,Texas
SKU1011,Shade Tree Variety 1,Shade Trees,3.78,10,15.4,53.2,59,Southeast
SKU1012,Shade Tree Variety 2,Shade Trees,3.83,7,13.0,39.8,12,Southeast
SKU1013,Shade Tree Variety 3,Shade Trees,3.57,14,29.0,78.9,81,Southeast
SKU1014,Shade Tree Variety 4,Shade Trees,3.47,7,12.6,36.9,60,Texas
SKU1015,Shade Tree Variety 5,Shade Trees,3.9,7,10.0,37.3,64,Southeast
SKU1016,Shade Tree Variety 6,Shade Trees,3.58,7,10.3,35.4,18,Southeast
SKU1017,Shade Tree Variety 7,Shade Trees,3.62,14,27.1,77.7,81,Pacific NW
SKU1018,Shade Tree Variety 8,Shade Trees,3.7,7,8.9,34.8,49,Texas
SKU1019,Flowering Shrub Variety 1,Flowering Shrubs,4.3,14,32.7,92.9,87,Texas
SKU1020,Flowering Shrub Variety 2,Flowering Shrubs,5.45,14,23.9,100.2,159,Pacific NW
