sku,product_name,category,unit_cost,unit_price,base_daily_demand,spring_boost,lead_time_days,supplier_region
SKU1000,Fruit Tree Variety 1,Fruit Trees,52.11,115.8,4.090909090909091,2.5,14,Southeast
SKU1001,Fruit Tree Variety 2,Fruit Trees,38.58,85.73,4.090909090909091,2.5,10,Midwest
SKU1002,Fruit Tree Variety 3,Fruit Trees,17.97,39.93,4.090909090909091,2.5,14,Texas
SKU1003,Fruit Tree Variety 4,Fruit Trees,21.21,47.13,4.090909090909091,2.5,14,Southeast
SKU1004,Fruit Tree Variety 5,Fruit Trees,52.85,117.44,4.090909090909091,2.5,14,Pacific NW
SKU1005,Fruit Tree Variety 6,Fruit Trees,15.78,35.07,4.090909090909091,2.5,21,Southeast
SKU1006,Fruit Tree Variety 7,Fruit Trees,27.39,60.87,4.090909090909091,2.5,10,Texas
SKU1007,Fruit Tree Variety 8,Fruit Trees,16.63,36.96,4.090909090909091,2.5,10,Midwest
SKU1008,Fruit Tree Variety 9,Fruit Trees,21.09,46.87,4.090909090909091,2.5,7,Texas
SKU1009,Fruit Tree Variety 10,Fruit Trees,24.65,54.78,4.090909090909091,2.5,7,Pacific NW
SKU1010,Fruit Tree Variety 11,Fruit Trees,23.39,51.98,4.090909090909091,2.5,10,Texas
SKU1011,Shade Tree Variety 1,Shade Trees,30.97,68.82,3.75,2.0,10,Southeast
SKU1012,Shade Tree Variety 2,Shade Trees,65.52,145.6,3.75,2.0,7,Southeast
SKU1013,Shade Tree Variety 3,Shade Trees,109.56,243.47,3.75,2.0,14,Southeast
SKU1014,Shade Tree Variety 4,Shade Trees,28.37,63.04,3.75,2.0,7,Texas
SKU1015,Shade Tree Variety 5,Shade Trees,64.63,143.62,3.75,2.0,7,Southeast
SKU1016,Shade Tree Variety 6,Shade Trees,98.24,218.31,3.75,2.0,7,Southeast
SKU1017,Shade Tree Variety 7,Shade Trees,49.13,109.18,3.75,2.0,14,Pacific NW
SKU1018,Shade Tree Variety 8,Shade Trees,63.35,140.78,3.75,2.0,7,Texas
SKU1019,Flowering Shrub Variety 1,Flowering Shrubs,12.03,26.73,4.230769230769231,3.0,14,Texas
SKU1020,Flowering Shrub Variety 2,Flowering Shrubs,34.5,76.67,4.230769230769231,3.0,14,Pacific NW
SKU1021,Flowering Shrub Variety 3,Flowering Shrubs,29.25,65.0,4.230769230769231,3.0,10,Pacific NW
SKU1022,Flowering Shrub Variety 4,Flowering Shrubs,16.1,35.78,4.230769230769231,3.0,7,Texas
SKU1023,Flowering Shrub Variety 5,Flowering Shrubs,32.15,71.44,4.230769230769231,3.0,14,Midwest
SKU1024,Flowering Shrub Variety 6,Flowering Shrubs,31.76,70.58,4.230769230769231,3.0,10,Texas
SKU1025,Flowering Shrub Variety 7,Flowering Shrubs,26.27,58.38,4.230769230769231,3.0,7,Southeast
SKU1026,Flowering Shrub Variety 8,Flowering Shrubs,31.1,69.11,4.230769230769231,3.0,7,Midwest
SKU1027,Flowering Shrub Variety 9,Flowering Shrubs,21.73,48.29,4.230769230769231,3.0,10,Texas
